"qod","kotrt","sug","tvnit","ktovt","m","l"
"שות ברכות הנהנין והמזון","שאלות ותשובות על ברכות הנהנין, הלכות סעודה","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=25002","רבנים","שו""ת מורשת"
"שות בין המצרים","שאלות ותשובות על ימי בין המצרים, הלכות תענית","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=10005","רבנים","שו""ת מורשת"
"שות חלומות","שאלות ותשובות על חלומות","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=13008","רבנים","שו""ת מורשת"
"שות גאולה ופעמיה","שאלות ותשובות על גאולה ופעמיה","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=20004","רבנים","שו""ת מורשת"
"שות תורה ומדע","שאלות ותשובות על תורה ומדע","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=24003","רבנים","שו""ת מורשת"
"שות תנ``ך ומפרשיו","שאלות ותשובות על תנ``ך ומפרשיו","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=23001","רבנים","שו""ת מורשת"
"שות אחרים","שאלות ותשובות על אחרים","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=23003","רבנים","שו""ת מורשת"
"שות אישים","שאלות ותשובות על אישים","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=21001","רבנים","שו""ת מורשת"
"שות עדות בישראל","שאלות ותשובות על עדות וכתות בישראל","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=16005","רבנים","שו""ת מורשת"
"שות דתיים חילונים","שאלות ותשובות על יחסי דתיים-חילוניים","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=16004","רבנים","שו""ת מורשת"
"שות חרדים ציונים","שאלות ותשובות על יחסי חרדים-דתיים לאומיים","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=16001","רבנים","שו""ת מורשת"
"שות תרבות המערב","שאלות ותשובות על יחס היהדות לתרבות המערב","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=24006","רבנים","שו""ת מורשת"
"שות יחס היהדות","שאלות ותשובות על יחס היהדות לנושאים  שונים","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=24004","רבנים","שו""ת מורשת"
"שות ט``ו בשבט","שאלות ותשובות על ט``ו בשבט","שות",,"http://moreshet.co.il/shut/shut_result.asp?kodeshut=10010","רבנים","שו""ת מורשת"
