"av","bn","sug","kotrt","sdr_bn","sdr_av"
5,"פסח וכרת?","טעם",,60,0
6,"פסח וכרת?","טעם",,60,0
9,"לא ייראה ולא יימצא","הגדרה",,60,0
9,"קו התאריך?","הגדרה",,60,0
11,"לא ייראה ולא יימצא","הגדרה",,60,0
12,"פסח וכרת?","טעם",,60,0
19,"פסח וכרת?","טעם",,60,0
20,"לא ייראה ולא יימצא","הגדרה",,60,0
26,"אלהים, אחרים","הגדרה",,60,0
27,"פסלים בשביל המזל?","הגדרה",,60,0
27,"תרופה לעומת קמיע","הגדרה",,60,0
32,"מה היא מלאכה?","הגדרה",,60,0
39,"פסלים בשביל המזל?","הגדרה",,60,0
49,"משמעות עונשי התורה","טעם",,60,0
68,"ריבית 0","טעם",,60,0
85,"מה היא מלאכה?","הגדרה",,60,0
181,"משמעות דיני נידה","טעם",,60,0
182,"משמעות דיני נידה","טעם",,60,0
207,"משמעות דיני נידה","טעם",,60,0
214,"פסלים בשביל המזל?","הגדרה",,60,0
214,"תרופה לעומת קמיע","הגדרה",,60,0
238,"לא תשנא - הוכח תוכיח","הגדרה",,90,0
239,"לא תשנא - הוכח תוכיח","הגדרה",,90,0
243,"למי לאהוב?","הגדרה",,90,0
306,"ספירת העומר?","הגדרה",,60,0
306,"קו התאריך?","הגדרה",,60,0
324,"ארבעת המינים?","הגדרה",,60,0
343,"ריבית 0","טעם",,60,0
386,"ציצית - אז והיום","הגדרה",,60,0
418,"ברכות אל ה'?","הגדרה",,60,0
425,"מוסר המלחמה","טעם",,60,0
433,"השירה כתפילה?","הגדרה",,60,0
433,"ריבוי אנפין בתפילה?","הגדרה",,60,0
433,"תפילה וגאולה","הגדרה",,60,0
433,"תפילה כמו שיחה?","הגדרה",,60,0
433,"תפילות על-פי התנ""ך","הגדרה",,60,0
475,"שמיטת חובות ושחרור","טעם",,60,0
477,"שמיטת חובות ושחרור","טעם",,60,0
527,"שלום ומלחמה - ניתוח","הגדרה",,60,0
560,"ממזר?","הגדרה",,60,0
561,"לא יבוא מואבי","הגדרה",,60,0
572,"ריבית 0","טעם",,60,0
604,"למה עמלק?","טעם",,60,0
604,"מוסר המלחמה","טעם",,60,0
